"type","variable","label","no75_coef","no75_se","no75_n","full_coef","full_se","full_n","diff","pct_change"
"crime","crimes1","Total",-0.1281,0.0091,814032,-0.1216,0.0089,840251,-0.0065,-5.3
"crime","offenses47","Robbery",-0.166,0.0138,813405,-0.1602,0.0135,839624,-0.0058,-3.6
"crime","offenses15","Assault",-0.1441,0.0143,812674,-0.1332,0.0139,838893,-0.0109,-8.2
"crime","offenses7","Burglary",-0.6256,0.0176,813084,-0.6142,0.0171,839278,-0.0114,-1.8
"crime","crimes10","Weapons",0.3105,0.0181,798779,0.3112,0.0177,824899,-7e-04,-0.2
"crime","crimes7","Misd.",-0.2055,0.0103,813992,-0.2016,0.0102,840211,-0.0039,-1.9
"crime","crimes6","Other Felony",0.604,0.0234,771674,0.6024,0.0231,797794,0.0017,0.3
"crime","crimes5","Drugs",-0.0324,0.0139,807083,-0.0289,0.0135,833203,-0.0035,-12.1
"crime","crimes3","Property Felony",-0.3051,0.0109,813853,-0.3023,0.0108,840072,-0.0028,-0.9
"crime","offenses","Violent Felony",-0.1319,0.0078,814066,-0.1276,0.0077,840285,-0.0043,-3.4
"arrest","crimes1","Violent Felony",0.0287,0.022,327569,0.022,0.0217,340991,0.0067,30.5
"arrest","crimes3","Property Felony",1.1554,0.0372,327326,1.1463,0.0368,340748,0.0091,0.8
"arrest","crimes5","Drugs",-0.0791,0.0129,327461,-0.0837,0.0126,340883,0.0046,5.5
"arrest","crimes6","Other Felony",0.516,0.0283,290191,0.518,0.028,303613,-0.002,-0.4
"arrest","crimes7","Misd.",0.2942,0.0282,326998,0.2928,0.028,340420,0.0014,0.5
"arrest","crimes10","Weapons",0.2739,0.0242,313241,0.277,0.0237,326663,-0.0031,-1.1
"arrest","offenses8","Burglary",0.3996,0.0782,171686,0.3741,0.0782,182141,0.0255,6.8
"arrest","offenses18","Assault",-0.0132,0.0399,293491,-0.0183,0.0392,306913,0.0051,27.7
"arrest","offenses57","Robbery",0.0017,0.0358,299657,-0.005,0.0354,313079,0.0066,133.5
"arrest","offenses","Total",0.4249,0.0157,328338,0.4184,0.0154,341760,0.0064,1.5
